cost,cost_formatted,model,mode,tokens,hours_saved,value_generated,roi,roi_formatted,commit_hash,commit_message,author,date
0.015385,$0.0154,openrouter/qwen/qwen3-coder-next,byok,"{'input': 3620, 'output': 9050, 'total': 12670}",1.56,156.0,10139.7,∞,de304303,"docs(docs): CLI interface with 3 supporting modules

stats:
  lines: ""+39/-35 (net +4)""
  files: 1
  complexity: ""Stable complexity""",Tom Softreck,2026-03-29T12:38:27+02:00
0.2501975,$0.2502,openrouter/qwen/qwen3-coder-next,byok,"{'input': 58870, 'output': 147175, 'total': 206045}",8.61,861.0,3441.3,∞,e94f4122,"feat(docs): code analysis engine

changes:
  - file: cli.py
    area: cli
    modified: [badge, auto_badge]

stats:
  lines: ""+276/-229 (net +47)""
  files: 17
  complexity: ""+100% complexity (monitor)""",Tom Softreck,2026-03-29T12:37:01+02:00
0.0150025,$0.0150,openrouter/qwen/qwen3-coder-next,byok,"{'input': 3530, 'output': 8825, 'total': 12355}",1.64,164.0,10931.5,∞,e1c394b4,"feat(goal): CLI interface improvements

changes:
  - file: cli.py
    area: cli
    modified: [estimate, analyze, badge, init, report]

stats:
  lines: ""+21/-16 (net +5)""
  files: 5
  complexity: ""+20% complexity (new features)""",Tom Softreck,2026-03-29T12:34:43+02:00
0.025517,$0.0255,openrouter/qwen/qwen3-coder-next,byok,"{'input': 6004, 'output': 15010, 'total': 21014}",3.28,328.0,12854.2,∞,da1edc0d,"refactor(docs): commit message generator

changes:
  - file: test_cost.py
    area: test
    modified: [test_aicost_auto_badge]

stats:
  lines: ""+63/-63 (net +0)""
  files: 4
  complexity: ""Stable complexity""",Tom Softreck,2026-03-29T12:26:05+02:00
0.006859499999999999,$0.0069,openrouter/qwen/qwen3-coder-next,byok,"{'input': 1614, 'output': 4035, 'total': 5649}",1.18,118.0,17202.4,∞,80afcc78,"feat(docs): code relationship mapping with 2 supporting modules

stats:
  lines: ""+65/-2 (net +63)""
  files: 3
  complexity: ""Stable complexity""",Tom Softreck,2026-03-29T12:24:34+02:00
